No.,Label,x(km),Average,Minimum,Maximum
0,  Dayton impoundment     ,12.34,28.09,26.62,29.28
0,  Dayton impoundment     ,12.09,28.09,26.74,29.18
0,  Dayton impoundment     ,11.85,28.10,26.86,29.09
0,  Dayton impoundment     ,11.60,28.10,26.96,28.98
0,  Dayton impoundment     ,11.36,28.11,27.06,28.88
0,  Dayton impoundment     ,11.11,28.11,27.13,28.77
0,  Dayton impoundment     ,10.87,28.11,27.19,28.67
0,  Dayton impoundment     ,10.63,28.12,27.24,28.69
0,  Dayton impoundment     ,10.38,28.12,27.27,28.73
0,  Dayton impoundment     ,10.14,28.12,27.28,28.79
0,  Dayton impoundment     ,9.89,28.13,27.28,28.86
0,  Dayton impoundment     ,9.65,28.13,27.26,28.93
0,  Dayton impoundment     ,9.40,28.13,27.22,29.01
0,Dayton dam               ,9.21,28.16,27.65,28.59
0,                         ,9.01,28.17,27.67,28.58
0,                         ,8.76,28.18,27.64,28.63
0,                         ,8.51,28.19,27.54,28.73
0,                         ,8.27,28.20,27.43,28.84
0,                         ,8.02,28.20,27.32,29.02
0,                         ,7.77,28.21,27.20,29.20
0,                         ,7.53,28.22,27.09,29.37
0,                         ,7.28,28.22,26.98,29.53
0,                         ,7.03,28.23,26.88,29.69
0,                         ,6.79,28.24,26.77,29.84
0,                         ,6.54,28.24,26.67,29.98
0,                         ,6.29,28.25,26.58,30.11
0,                         ,6.05,28.25,26.48,30.24
0,                         ,5.80,28.26,26.39,30.36
0,                         ,5.55,28.26,26.30,30.47
0,                         ,5.31,28.27,26.21,30.58
0,                         ,5.06,28.27,26.13,30.68
0,                         ,4.81,28.28,26.05,30.77
0,                         ,4.57,28.28,25.97,30.86
0,                         ,4.32,28.28,25.89,30.94
0,                         ,4.07,28.29,25.82,31.02
0,                         ,3.83,28.29,25.75,31.09
0,                         ,3.58,28.29,25.69,31.16
0,                         ,3.33,28.30,25.63,31.22
0,                         ,3.08,28.30,25.57,31.28
0,                         ,2.84,28.31,25.52,31.34
0,                         ,2.59,28.31,25.47,31.39
0,                         ,2.34,28.31,25.43,31.43
0,                         ,2.10,28.32,25.39,31.47
0,                         ,1.85,28.32,25.35,31.51
0,                         ,1.60,28.32,25.32,31.54
0,                         ,1.36,28.33,25.29,31.57
0,                         ,1.11,28.33,25.26,31.59
0,                         ,0.86,28.34,25.23,31.60
0,                         ,0.62,28.34,25.21,31.61
0,                         ,0.37,28.34,25.19,31.62
0,                         ,0.12,28.35,25.17,31.62
0,Terminus                 ,0.00,28.35,25.17,31.62
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
