No.,Reach Label,x(km),cond (umhos),ISS (mgD/L),DO(mgO2/L),CBODs (mgO2/L),CBODf (mgO2/L),No(ugN/L),NH4(ugN/L),NO3(ugN/L),Po (ugP/L),Inorg P (ugP/L),Phyto (ugA/L),INp(ugN/L),IPp (ugP/L),Detritus (mgD/L),Pathogen,Alk,i,ii,iii,pH,(mgA/m2),(ugN/mgA),(ugP/mgA),TOC,TN,TP,TKN,(mgD/L),CBODu,NH3,DO sat,pHsat
0,,56.2,1270.46,13.91,6.24,0,12.59,1622.64,730.43,2548.44,5.17,0.58,89.89,1.16,0.05,2.86,0,154.94,276.68,0,0,8.07,1.93,15.08,0.11,9.42,4902.66,5.79,2354.22,25.76,25.34,54.74,7.78,8.61
0,,55.95,1270.46,13.89,6.21,0,12.52,1622.22,729.17,2503.92,5.16,0.57,90.19,1.16,0.05,2.86,0,154.94,276.68,0,0,8.06,2.12,15.13,0.11,9.41,4856.47,5.79,2352.55,25.77,25.3,54.04,7.78,8.61
0,,55.71,1270.46,13.87,6.18,0,12.45,1621.8,727.92,2460.14,5.16,0.57,90.5,1.15,0.05,2.86,0,154.93,276.68,0,0,8.06,1.83,15.13,0.11,9.39,4811.01,5.78,2350.87,25.78,25.26,53.39,7.78,8.61
0,,55.47,1270.46,13.85,6.15,0,12.38,1621.38,726.68,2417.1,5.16,0.57,90.82,1.15,0.05,2.85,0,154.93,276.68,0,0,8.05,1.95,15.17,0.11,9.37,4766.3,5.78,2349.2,25.79,25.22,52.79,7.78,8.61
0,,55.22,1270.46,13.84,6.12,0,12.31,1620.95,725.44,2374.77,5.16,0.56,91.14,1.15,0.05,2.85,0,154.92,276.68,0,0,8.05,1.71,15.18,0.11,9.36,4722.3,5.77,2347.53,25.8,25.18,52.23,7.78,8.61
0,,54.98,1270.46,13.82,6.1,0,12.24,1620.52,724.21,2333.16,5.15,0.56,91.47,1.14,0.05,2.85,0,154.91,276.68,0,0,8.04,1.72,15.21,0.1,9.35,4679.03,5.76,2345.87,25.81,25.14,51.72,7.78,8.61
0,,54.74,1270.46,13.8,6.07,0,12.17,1620.08,722.98,2292.25,5.15,0.56,91.8,1.14,0.05,2.84,0,154.91,276.68,0,0,8.04,1.48,15.22,0.1,9.33,4636.45,5.76,2344.2,25.82,25.1,51.24,7.78,8.61
0,,54.49,1270.61,13.79,6.05,0,12.13,1621.13,721.93,2253.72,5.14,0.55,92.09,1.13,0.05,2.84,0,154.87,276.57,0,0,8.03,1.56,15.26,0.1,9.33,4597.92,5.75,2344.19,25.84,25.09,50.79,7.78,8.61
0,,54.25,1270.61,13.78,6.03,0,12.06,1620.69,720.71,2214.19,5.14,0.55,92.43,1.13,0.05,2.83,0,154.86,276.57,0,0,8.03,1.39,15.27,0.1,9.31,4556.72,5.74,2342.53,25.85,25.06,50.38,7.78,8.61
0,,54.01,1270.61,13.76,6.01,0,11.99,1620.25,719.49,2175.33,5.14,0.55,92.78,1.13,0.05,2.83,0,154.86,276.57,0,0,8.02,1.45,15.3,0.1,9.3,4516.2,5.74,2340.87,25.87,25.02,50,7.78,8.61
0,,53.76,1270.61,13.74,5.99,0,11.93,1619.8,718.28,2137.14,5.13,0.55,93.13,1.13,0.05,2.83,0,154.85,276.57,0,0,8.02,1.19,15.3,0.1,9.29,4476.35,5.73,2339.21,25.88,24.99,49.65,7.78,8.61
0,,53.52,1270.61,13.72,5.97,0,11.86,1619.36,717.07,2099.61,5.13,0.54,93.49,1.12,0.05,2.82,0,154.84,276.57,0,0,8.02,1.33,15.34,0.1,9.28,4437.17,5.72,2337.55,25.89,24.96,49.32,7.78,8.61
0,,53.27,1270.61,13.7,5.96,0,11.79,1618.89,715.85,2061.84,5.13,0.54,93.86,1.12,0.05,2.82,0,154.84,276.57,0,0,8.01,1.01,15.34,0.1,9.27,4397.7,5.72,2335.86,25.91,24.92,49.06,7.78,8.61
0,,53.02,1270.61,13.68,5.94,0,11.72,1618.42,714.62,2024.71,5.13,0.54,94.23,1.12,0.05,2.82,0,154.83,276.57,0,0,8.01,0.92,15.36,0.1,9.25,4358.87,5.71,2334.16,25.92,24.89,48.81,7.77,8.61
0,,52.77,1270.61,13.66,5.93,0,11.66,1617.95,713.39,1988.22,5.12,0.53,94.61,1.11,0.05,2.81,0,154.83,276.57,0,0,8,0.99,15.39,0.1,9.24,4320.68,5.71,2332.46,25.94,24.86,48.59,7.77,8.61
0,,52.52,1270.61,13.65,5.91,0,11.59,1617.48,712.17,1952.37,5.12,0.53,94.99,1.11,0.05,2.81,0,154.82,276.57,0,0,8,0.79,15.4,0.1,9.23,4283.12,5.7,2330.76,25.95,24.83,48.39,7.77,8.61
0,,52.26,1270.61,13.63,5.9,0,11.52,1617,710.95,1917.14,5.12,0.53,95.37,1.11,0.05,2.81,0,154.82,276.57,0,0,8,0.66,15.41,0.1,9.22,4246.19,5.69,2329.05,25.97,24.8,48.2,7.77,8.61
0,,52.01,1270.61,13.61,5.89,0,11.46,1616.53,709.72,1882.52,5.11,0.53,95.75,1.1,0.05,2.8,0,154.81,276.57,0,0,7.99,0.87,15.46,0.1,9.21,4209.87,5.69,2327.35,25.99,24.77,48.03,7.77,8.61
0,,51.76,1270.61,13.59,5.88,0,11.39,1616.05,708.5,1848.52,5.11,0.52,96.14,1.1,0.05,2.8,0,154.8,276.57,0,0,7.99,0.75,15.47,0.1,9.2,4174.17,5.68,2325.65,26,24.75,47.87,7.77,8.61
0,,51.51,1270.61,13.57,5.86,0,11.33,1615.56,707.28,1815.13,5.11,0.52,96.53,1.1,0.05,2.8,0,154.8,276.57,0,0,7.99,0.64,15.48,0.1,9.19,4139.07,5.68,2323.94,26.02,24.72,47.72,7.77,8.61
0,,51.25,1270.61,13.55,5.86,0,11.26,1615.08,706.06,1782.33,5.1,0.52,96.92,1.09,0.05,2.79,0,154.79,276.57,0,0,7.99,0.59,15.5,0.1,9.18,4104.56,5.67,2322.23,26.04,24.69,47.58,7.77,8.61
0,,51,1270.61,13.53,5.85,0,11.2,1614.59,704.84,1750.13,5.1,0.52,97.31,1.09,0.05,2.79,0,154.79,276.57,0,0,7.98,0.57,15.52,0.1,9.17,4070.64,5.66,2320.52,26.05,24.67,47.45,7.77,8.61
0,,50.75,1270.61,13.52,5.84,0,11.13,1614.1,703.62,1718.5,5.1,0.51,97.7,1.09,0.05,2.79,0,154.78,276.57,0,0,7.98,0.53,15.54,0.1,9.16,4037.31,5.66,2318.81,26.07,24.64,47.32,7.76,8.61
0,,50.5,1270.61,13.5,5.83,0,11.07,1613.61,702.4,1687.45,5.09,0.51,98.09,1.08,0.05,2.78,0,154.78,276.57,0,0,7.98,0.51,15.57,0.1,9.15,4004.54,5.65,2317.09,26.09,24.62,47.21,7.76,8.61
0,,50.25,1268.4,13.4,5.85,0,10.99,1607.52,695.34,1640.38,5.05,0.51,97.8,1.24,0.05,2.76,0,156.11,275.53,0,0,7.98,0.31,15.64,0.1,9.1,3944.49,5.6,2304.11,25.94,24.48,46.59,7.77,8.61
0,,50,1268.4,13.38,5.85,0,10.91,1606.61,693.38,1603.87,5.04,0.5,98.31,1.24,0.05,2.75,0,156.1,275.53,0,0,7.98,0.24,15.62,0.1,9.09,3905.09,5.59,2301.23,25.96,24.45,46.43,7.77,8.61
0,,49.75,1233.35,12.74,6.22,0,10.25,1526.38,641.28,1674.79,4.62,0.46,90.36,2.15,0.04,2.52,0,169.86,265.13,0,0,7.99,0.12,16.27,0.1,8.43,3844.6,5.13,2169.81,24.3,22.69,43.34,7.82,8.65
0,,49.51,1233.35,12.73,6.22,0,10.22,1526.03,640.53,1659.08,4.62,0.46,90.56,2.15,0.04,2.52,0,169.85,265.13,0,0,7.99,0.14,16.28,0.1,8.43,3827.79,5.12,2168.71,24.31,22.68,43.32,7.82,8.65
0,,49.27,1233.35,12.72,6.22,0,10.19,1525.69,639.78,1643.52,4.62,0.46,90.76,2.14,0.04,2.52,0,169.85,265.13,0,0,7.99,0.12,16.28,0.1,8.43,3811.12,5.12,2167.61,24.32,22.67,43.29,7.82,8.65
0,,49.03,1233.35,12.71,6.21,0,10.16,1525.34,639.03,1628.1,4.61,0.46,90.96,2.14,0.04,2.52,0,169.85,265.13,0,0,7.99,0.15,16.3,0.1,8.42,3794.6,5.12,2166.51,24.32,22.65,43.26,7.81,8.65
0,,48.79,1233.35,12.7,6.21,0,10.13,1524.99,638.28,1612.82,4.61,0.46,91.16,2.13,0.04,2.51,0,169.84,265.13,0,0,7.99,0.13,16.29,0.1,8.42,3778.22,5.11,2165.4,24.33,22.64,43.22,7.81,8.65
0,,48.55,1233.35,12.69,6.21,0,10.1,1524.65,637.53,1597.68,4.61,0.46,91.35,2.13,0.04,2.51,0,169.84,265.13,0,0,7.99,0.13,16.3,0.1,8.41,3761.99,5.11,2164.3,24.34,22.63,43.18,7.81,8.65
0,,48.31,1233.35,12.68,6.21,0,10.07,1524.3,636.78,1582.69,4.61,0.46,91.55,2.12,0.04,2.51,0,169.83,265.13,0,0,7.99,0.14,16.31,0.1,8.41,3745.89,5.11,2163.2,24.35,22.62,43.13,7.81,8.65
0,,48.08,1233.35,12.68,6.21,0,10.04,1523.95,636.03,1567.83,4.61,0.46,91.74,2.12,0.04,2.51,0,169.83,265.13,0,0,7.99,0.16,16.32,0.1,8.41,3729.94,5.11,2162.1,24.36,22.61,43.07,7.81,8.65
0,,47.84,1233.35,12.67,6.21,0,10.01,1523.61,635.29,1553.12,4.6,0.46,91.93,2.11,0.04,2.51,0,169.83,265.13,0,0,7.99,0.14,16.32,0.1,8.4,3714.12,5.1,2161.01,24.37,22.6,43.01,7.81,8.65
0,,47.6,1233.35,12.66,6.2,0,9.98,1523.26,634.54,1538.54,4.6,0.46,92.12,2.11,0.04,2.51,0,169.82,265.13,0,0,7.99,0.08,16.29,0.1,8.4,3698.45,5.1,2159.91,24.37,22.59,42.94,7.8,8.65
0,,47.35,1233.12,12.64,6.21,0,9.94,1522.34,633.35,1521.72,4.6,0.46,92.3,2.11,0.04,2.5,0,169.9,265.06,0,0,7.99,0.11,16.32,0.1,8.39,3679.52,5.09,2157.8,24.37,22.56,42.82,7.8,8.65
0,,47.1,1233.12,12.63,6.2,0,9.9,1521.94,632.47,1504.32,4.59,0.46,92.53,2.1,0.04,2.5,0,169.9,265.06,0,0,7.99,0.1,16.32,0.1,8.38,3660.82,5.09,2156.5,24.38,22.55,42.73,7.8,8.65
0,,46.84,1233.12,12.62,6.2,0,9.87,1521.53,631.59,1487.11,4.59,0.45,92.75,2.1,0.04,2.5,0,169.89,265.06,0,0,7.99,0.12,16.34,0.1,8.38,3642.32,5.09,2155.21,24.39,22.54,42.62,7.8,8.65
0,,46.59,1233.12,12.61,6.2,0,9.83,1521.12,630.71,1470.1,4.59,0.45,92.98,2.09,0.04,2.5,0,169.89,265.06,0,0,7.99,0.13,16.35,0.1,8.37,3624.01,5.08,2153.92,24.4,22.52,42.51,7.8,8.65
0,,46.34,1233.12,12.6,6.2,0,9.8,1520.71,629.83,1453.28,4.59,0.45,93.2,2.09,0.04,2.49,0,169.88,265.06,0,0,7.99,0.12,16.35,0.1,8.37,3605.91,5.08,2152.63,24.41,22.51,42.4,7.79,8.65
0,,46.08,1233.12,12.59,6.2,0,9.76,1520.31,628.95,1436.66,4.58,0.45,93.43,2.08,0.04,2.49,0,169.88,265.06,0,0,7.99,0.13,16.36,0.1,8.36,3588,5.08,2151.34,24.42,22.5,42.28,7.79,8.65
0,,45.83,1233.12,12.57,6.19,0,9.73,1519.9,628.08,1420.23,4.58,0.45,93.65,2.08,0.04,2.49,0,169.87,265.06,0,0,7.99,0.08,16.34,0.1,8.36,3570.28,5.07,2150.05,24.43,22.49,42.15,7.79,8.65
0,,45.58,1233.12,12.56,6.19,0,9.69,1519.49,627.2,1403.99,4.58,0.45,93.87,2.07,0.04,2.49,0,169.87,265.06,0,0,7.99,0.07,16.35,0.1,8.35,3552.75,5.07,2148.76,24.44,22.47,42.02,7.79,8.65
0,,45.33,1233.12,12.55,6.19,0,9.66,1519.08,626.33,1387.93,4.58,0.45,94.09,2.07,0.04,2.49,0,169.87,265.06,0,0,7.99,0.09,16.36,0.1,8.35,3535.4,5.07,2147.47,24.45,22.46,41.89,7.78,8.65
0,,45.07,1233.12,12.54,6.19,0,9.63,1518.67,625.46,1372.06,4.57,0.45,94.31,2.06,0.04,2.49,0,169.86,265.06,0,0,7.99,0.09,16.37,0.1,8.34,3518.25,5.06,2146.19,24.46,22.45,41.76,7.78,8.65
0,,44.82,1233.12,12.53,6.19,0,9.59,1518.26,624.59,1356.38,4.57,0.45,94.53,2.05,0.04,2.48,0,169.86,265.06,0,0,7.99,0.12,16.38,0.1,8.34,3501.28,5.06,2144.9,24.47,22.44,41.62,7.78,8.65
0,,44.57,1233.12,12.52,6.19,0,9.56,1517.85,623.72,1340.87,4.57,0.45,94.75,2.05,0.04,2.48,0,169.85,265.06,0,0,7.99,0.09,16.38,0.1,8.34,3484.49,5.06,2143.62,24.48,22.42,41.48,7.78,8.65
0,,44.31,1233.12,12.51,6.19,0,9.52,1517.44,622.85,1325.54,4.57,0.45,94.97,2.04,0.04,2.48,0,169.85,265.06,0,0,7.98,0.08,16.38,0.1,8.33,3467.88,5.05,2142.33,24.49,22.41,41.35,7.77,8.65
0,,44.06,1233.12,12.5,6.19,0,9.49,1517.03,621.98,1310.39,4.56,0.45,95.19,2.04,0.04,2.48,0,169.84,265.06,0,0,7.98,0.08,16.39,0.1,8.33,3451.44,5.05,2141.05,24.49,22.4,41.21,7.77,8.65
0,,43.81,1233.12,12.49,6.19,0,9.46,1516.62,621.12,1295.41,4.56,0.45,95.41,2.03,0.04,2.48,0,169.84,265.06,0,0,7.98,0.12,16.41,0.1,8.32,3435.18,5.05,2139.77,24.5,22.39,41.07,7.77,8.65
0,,43.56,1233.12,12.47,6.18,0,9.42,1516.21,620.25,1280.61,4.56,0.45,95.62,2.03,0.04,2.48,0,169.83,265.06,0,0,7.98,0.06,16.38,0.1,8.32,3419.1,5.04,2138.49,24.51,22.38,40.93,7.77,8.65
0,,43.3,1233.12,12.46,6.18,0,9.39,1515.8,619.39,1265.97,4.56,0.44,95.84,2.02,0.04,2.47,0,169.83,265.06,0,0,7.98,0.09,16.4,0.1,8.31,3403.18,5.04,2137.21,24.52,22.36,40.79,7.76,8.65
0,,43.05,1233.12,12.45,6.19,0,9.36,1515.39,618.53,1251.5,4.55,0.44,96.06,2.02,0.04,2.47,0,169.82,265.06,0,0,7.98,0.11,16.41,0.1,8.31,3387.43,5.04,2135.93,24.53,22.35,40.65,7.76,8.65
0,,42.8,1233.12,12.44,6.19,0,9.32,1514.98,617.66,1237.2,4.55,0.44,96.28,2.01,0.04,2.47,0,169.82,265.06,0,0,7.98,0.1,16.42,0.1,8.31,3371.85,5.03,2134.65,24.54,22.34,40.52,7.76,8.65
0,,42.54,1233.12,12.43,6.19,0,9.29,1514.57,616.8,1223.05,4.55,0.44,96.5,2.01,0.04,2.47,0,169.82,265.06,0,0,7.98,0.05,16.39,0.1,8.3,3356.43,5.03,2133.38,24.55,22.33,40.39,7.76,8.65
0,,42.29,1233.12,12.42,6.19,0,9.26,1514.16,615.94,1209.07,4.54,0.44,96.72,2,0.04,2.47,0,169.81,265.06,0,0,7.98,0.09,16.42,0.1,8.3,3341.17,5.03,2132.1,24.56,22.32,40.26,7.76,8.65
0,,42.04,1233.12,12.41,6.19,0,9.22,1513.67,614.9,1191.77,4.54,0.44,96.99,2,0.04,2.47,0,169.81,265.06,0,0,7.98,0.1,16.43,0.1,8.29,3322.34,5.02,2130.56,24.57,22.31,40.11,7.75,8.65
0,,41.78,1233.12,12.39,6.19,0,9.18,1513.18,613.86,1174.72,4.54,0.44,97.27,1.99,0.04,2.46,0,169.8,265.06,0,0,7.98,0.12,16.44,0.1,8.29,3303.74,5.02,2129.03,24.58,22.3,39.96,7.75,8.65
0,,41.52,1233.12,12.38,6.19,0,9.14,1512.69,612.82,1157.9,4.54,0.44,97.55,1.98,0.04,2.46,0,169.8,265.06,0,0,7.98,0.08,16.43,0.1,8.28,3285.39,5.01,2127.49,24.6,22.29,39.83,7.75,8.65
0,,41.26,1233.12,12.36,6.19,0,9.1,1512.2,611.78,1141.32,4.53,0.44,97.83,1.98,0.04,2.46,0,169.79,265.06,0,0,7.98,0.07,16.43,0.1,8.28,3267.28,5.01,2125.95,24.61,22.27,39.7,7.75,8.65
0,,41.01,1233.12,12.35,6.2,0,9.06,1511.71,610.74,1124.98,4.53,0.44,98.11,1.97,0.04,2.46,0,169.78,265.06,0,0,7.98,0.09,16.45,0.1,8.28,3249.4,5.01,2124.42,24.62,22.26,39.58,7.74,8.65
0,,40.75,1233.03,12.34,6.2,0,9.02,1510.98,609.52,1108.78,4.53,0.44,98.38,1.97,0.04,2.46,0,169.81,265.04,0,0,7.98,0.09,16.46,0.1,8.27,3231.24,5,2122.46,24.63,22.25,39.47,7.74,8.65
0,,40.5,1233.03,12.32,6.2,0,8.98,1510.45,608.42,1092.39,4.52,0.44,98.67,1.96,0.04,2.46,0,169.81,265.04,0,0,7.98,0.09,16.46,0.1,8.27,3213.23,5,2120.84,24.64,22.24,39.38,7.74,8.65
0,,40.25,1233.03,12.31,6.21,0,8.94,1509.93,607.33,1076.24,4.52,0.43,98.97,1.95,0.04,2.45,0,169.8,265.04,0,0,7.98,0.1,16.47,0.1,8.26,3195.45,4.99,2119.21,24.66,22.23,39.3,7.74,8.65
0,,39.99,1233.03,12.29,6.21,0,8.9,1509.41,606.23,1060.32,4.52,0.43,99.27,1.95,0.04,2.45,0,169.8,265.04,0,0,7.98,0.09,16.47,0.1,8.26,3177.91,4.99,2117.58,24.67,22.22,39.23,7.73,8.65
0,,39.74,1233.03,12.28,6.22,0,8.86,1508.88,605.13,1044.64,4.51,0.43,99.57,1.94,0.04,2.45,0,169.79,265.04,0,0,7.99,0.09,16.47,0.1,8.26,3160.6,4.98,2115.96,24.69,22.21,39.18,7.73,8.65
0,,39.49,1233.03,12.26,6.23,0,8.82,1508.36,604.04,1029.18,4.51,0.43,99.88,1.93,0.04,2.45,0,169.79,265.04,0,0,7.99,0.1,16.48,0.1,8.25,3143.51,4.98,2114.33,24.7,22.2,39.14,7.73,8.65
0,,39.23,1233.03,12.25,6.23,0,8.78,1507.84,602.94,1013.95,4.51,0.43,100.18,1.93,0.04,2.45,0,169.78,265.04,0,0,7.99,0.1,16.48,0.1,8.25,3126.65,4.97,2112.7,24.72,22.2,39.12,7.73,8.65
0,,38.98,1233.03,12.24,6.24,0,8.75,1507.31,601.84,998.93,4.5,0.43,100.49,1.92,0.04,2.45,0,169.77,265.04,0,0,7.99,0.09,16.48,0.1,8.25,3110.01,4.97,2111.07,24.73,22.19,39.11,7.73,8.65
0,,38.73,1233.03,12.22,6.25,0,8.71,1506.79,600.74,984.14,4.5,0.43,100.8,1.91,0.04,2.44,0,169.77,265.04,0,0,7.99,0.09,16.48,0.1,8.25,3093.58,4.97,2109.44,24.75,22.19,39.12,7.72,8.65
0,,38.47,1233.03,12.21,6.26,0,8.67,1506.27,599.64,969.56,4.5,0.43,101.12,1.91,0.04,2.44,0,169.76,265.04,0,0,7.99,0.1,16.48,0.1,8.25,3077.37,4.96,2107.81,24.76,22.18,39.14,7.72,8.65
0,,38.22,1233.03,12.19,6.27,0,8.63,1505.74,598.53,955.2,4.49,0.43,101.43,1.9,0.04,2.44,0,169.76,265.04,0,0,7.99,0.1,16.48,0.1,8.24,3061.37,4.96,2106.17,24.78,22.18,39.18,7.72,8.65
0,,37.97,1233.03,12.18,6.27,0,8.6,1505.22,597.43,941.04,4.49,0.43,101.75,1.89,0.04,2.44,0,169.75,265.04,0,0,7.99,0.09,16.48,0.1,8.24,3045.58,4.95,2104.54,24.8,22.17,39.24,7.72,8.65
0,,37.72,1233.03,12.17,6.28,0,8.56,1504.69,596.32,927.09,4.49,0.43,102.07,1.89,0.04,2.44,0,169.75,265.04,0,0,7.99,0.09,16.48,0.1,8.24,3029.99,4.95,2102.9,24.81,22.17,39.31,7.72,8.65
0,,37.46,1233.03,12.15,6.3,0,8.52,1504.17,595.21,913.35,4.48,0.43,102.4,1.88,0.04,2.44,0,169.74,265.04,0,0,7.99,0.1,16.49,0.1,8.24,3014.61,4.94,2101.26,24.83,22.17,39.4,7.72,8.65
0,,37.21,1233.03,12.14,6.31,0,8.49,1503.64,594.1,899.81,4.48,0.42,102.72,1.88,0.04,2.44,0,169.73,265.04,0,0,8,0.1,16.49,0.1,8.24,2999.43,4.94,2099.61,24.85,22.16,39.51,7.71,8.65
0,,36.96,1233.03,12.12,6.32,0,8.45,1503.12,592.98,886.48,4.48,0.42,103.05,1.87,0.04,2.44,0,169.73,265.04,0,0,8,0.09,16.48,0.1,8.24,2984.45,4.94,2097.97,24.87,22.16,39.64,7.71,8.65
0,,36.7,1233.03,12.11,6.33,0,8.42,1502.59,591.86,873.34,4.47,0.42,103.38,1.86,0.04,2.43,0,169.72,265.04,0,0,8,0.09,16.48,0.1,8.24,2969.66,4.93,2096.32,24.88,22.16,39.77,7.71,8.65
0,,36.45,1233.03,12.1,6.34,0,8.38,1502.07,590.74,860.4,4.47,0.42,103.71,1.86,0.04,2.43,0,169.72,265.04,0,0,8,0.09,16.48,0.1,8.24,2955.06,4.93,2094.66,24.9,22.16,39.93,7.71,8.65
0,,36.2,1233.03,12.08,6.35,0,8.35,1501.54,589.62,847.66,4.47,0.42,104.05,1.85,0.04,2.43,0,169.71,265.04,0,0,8,0.09,16.48,0.1,8.24,2940.66,4.92,2093.01,24.92,22.16,40.1,7.71,8.65
0,,35.95,1233.03,12.07,6.37,0,8.31,1501.01,588.49,835.1,4.46,0.42,104.39,1.84,0.04,2.43,0,169.71,265.04,0,0,8.01,0.09,16.48,0.1,8.24,2926.45,4.92,2091.34,24.94,22.16,40.29,7.71,8.65
0,,35.69,1233.03,12.06,6.38,0,8.28,1500.49,587.35,822.74,4.46,0.42,104.72,1.84,0.04,2.43,0,169.7,265.04,0,0,8.01,0.09,16.48,0.1,8.24,2912.42,4.92,2089.68,24.96,22.17,40.49,7.71,8.65
0,,35.44,1233.03,12.04,6.4,0,8.25,1499.96,586.22,810.57,4.46,0.42,105.06,1.83,0.04,2.43,0,169.7,265.04,0,0,8.01,0.09,16.48,0.1,8.24,2898.58,4.91,2088.01,24.98,22.17,40.7,7.71,8.65
0,,35.19,1233.03,12.03,6.41,0,8.22,1499.43,585.08,798.58,4.45,0.42,105.41,1.82,0.04,2.43,0,169.69,265.04,0,0,8.01,0.09,16.48,0.1,8.24,2884.92,4.91,2086.34,25,22.17,40.93,7.71,8.65
0,,34.93,1233.03,12.01,6.42,0,8.18,1498.91,583.93,786.78,4.45,0.42,105.75,1.82,0.04,2.43,0,169.68,265.04,0,0,8.02,0.09,16.48,0.1,8.24,2871.44,4.9,2084.66,25.02,22.17,41.17,7.7,8.65
0,,34.68,1233.03,12,6.44,0,8.15,1498.38,582.79,775.17,4.45,0.42,106.09,1.81,0.04,2.43,0,169.68,265.04,0,0,8.02,0.09,16.47,0.1,8.24,2858.14,4.9,2082.98,25.04,22.18,41.42,7.7,8.65
0,,34.43,1233.03,11.99,6.46,0,8.12,1497.85,581.63,763.73,4.44,0.42,106.44,1.81,0.04,2.43,0,169.67,265.04,0,0,8.02,0.09,16.47,0.1,8.25,2845.02,4.9,2081.29,25.06,22.18,41.68,7.7,8.65
0,,34.18,1233.03,11.97,6.47,0,8.09,1497.33,580.48,752.47,4.44,0.42,106.78,1.8,0.04,2.43,0,169.67,265.04,0,0,8.02,0.08,16.47,0.1,8.25,2832.07,4.89,2079.6,25.08,22.19,41.95,7.7,8.65
0,,33.92,1233.03,11.96,6.49,0,8.06,1496.8,579.31,741.39,4.44,0.42,107.13,1.79,0.04,2.43,0,169.66,265.04,0,0,8.03,0.08,16.47,0.1,8.25,2819.3,4.89,2077.91,25.1,22.19,42.23,7.7,8.65
0,,33.67,1232.73,11.94,6.5,0,8.03,1495.76,578.1,735.16,4.43,0.41,107.3,1.8,0.04,2.42,0,169.77,264.95,0,0,8.03,0.08,16.47,0.1,8.25,2810.82,4.88,2075.65,25.1,22.18,42.41,7.7,8.65
0,,33.43,1232.73,11.93,6.51,0,8.01,1495.38,577.25,727.37,4.43,0.41,107.55,1.79,0.04,2.42,0,169.77,264.95,0,0,8.03,0.08,16.47,0.1,8.25,2801.79,4.88,2074.42,25.11,22.19,42.62,7.7,8.65
0,,33.19,1232.73,11.92,6.53,0,7.99,1494.99,576.41,719.66,4.43,0.41,107.8,1.79,0.03,2.42,0,169.76,264.95,0,0,8.03,0.08,16.47,0.1,8.25,2792.85,4.87,2073.19,25.13,22.19,42.84,7.7,8.65
0,,32.94,1232.73,11.91,6.54,0,7.97,1494.61,575.56,712.05,4.42,0.41,108.05,1.78,0.03,2.42,0,169.76,264.95,0,0,8.03,0.08,16.47,0.1,8.25,2784,4.87,2071.95,25.14,22.2,43.06,7.7,8.65
0,,32.7,1232.73,11.9,6.55,0,7.94,1494.23,574.71,704.52,4.42,0.41,108.3,1.78,0.03,2.42,0,169.75,264.95,0,0,8.04,0.08,16.47,0.1,8.25,2775.23,4.87,2070.71,25.16,22.2,43.28,7.7,8.65
0,,32.45,1232.73,11.9,6.56,0,7.92,1493.84,573.85,697.08,4.42,0.41,108.55,1.77,0.03,2.42,0,169.75,264.95,0,0,8.04,0.08,16.47,0.1,8.26,2766.55,4.87,2069.47,25.17,22.21,43.5,7.7,8.65
0,,32.21,1231.99,11.87,6.59,0,7.89,1491.68,571.83,692.82,4.41,0.41,108.63,1.78,0.03,2.42,0,170.02,264.74,0,0,8.04,0.06,16.48,0.1,8.25,2758.12,4.85,2065.29,25.15,22.18,43.68,7.7,8.65
0,,31.96,1231.99,11.86,6.6,0,7.87,1491.16,570.72,684.47,4.4,0.41,108.91,1.78,0.03,2.42,0,170.02,264.74,0,0,8.04,0.07,16.47,0.1,8.25,2748.12,4.85,2063.65,25.17,22.19,43.93,7.7,8.65
0,,31.72,1231.99,11.85,6.62,0,7.84,1490.63,569.61,676.22,4.4,0.41,109.19,1.77,0.03,2.42,0,170.01,264.74,0,0,8.05,0.05,16.45,0.1,8.25,2738.23,4.85,2062,25.19,22.19,44.18,7.7,8.65
0,,31.47,1231.99,11.84,6.63,0,7.82,1490.1,568.49,668.09,4.4,0.41,109.47,1.76,0.03,2.42,0,170.01,264.74,0,0,8.05,0.04,16.42,0.1,8.25,2728.45,4.84,2060.36,25.2,22.2,44.42,7.7,8.65
0,,31.22,1231.99,11.83,6.64,0,7.8,1489.57,567.38,660.07,4.39,0.41,109.75,1.76,0.03,2.42,0,170,264.74,0,0,8.05,0.03,16.4,0.1,8.25,2718.77,4.84,2058.7,25.22,22.21,44.66,7.7,8.65
0,,30.98,1231.99,11.81,6.66,0,7.77,1489.04,566.26,652.16,4.39,0.41,110.02,1.75,0.03,2.42,0,170,264.74,0,0,8.05,0.05,16.41,0.1,8.26,2709.21,4.84,2057.05,25.23,22.21,44.89,7.7,8.65
0,,30.73,1231.99,11.8,6.67,0,7.75,1488.51,565.14,644.35,4.39,0.41,110.3,1.75,0.03,2.42,0,169.99,264.74,0,0,8.06,0.04,16.39,0.1,8.26,2699.75,4.83,2055.4,25.25,22.22,45.12,7.7,8.65
0,,30.48,1232.7,11.84,6.69,0,7.89,1494.63,565.19,648.07,4.37,0.41,110.28,1.74,0.03,2.41,0,169.8,264.3,0,0,8.06,0.04,16.43,0.1,8.31,2709.63,4.82,2061.56,25.28,22.35,45.34,7.7,8.65
